[0227/122820.400:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0227/124808.657:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0227/124813.672:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0227/124818.687:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0227/124823.693:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0227/124828.704:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0227/124833.719:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0227/124838.734:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0227/124843.750:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0227/124848.764:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0227/124853.780:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0227/124858.795:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0227/124903.810:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0227/124908.825:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0227/124913.840:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0227/124918.855:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0227/124923.870:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0227/124928.885:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0227/124933.899:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0227/124938.914:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0227/124943.928:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0227/124948.942:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0227/124953.963:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0227/124958.976:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0227/125003.990:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0227/125009.000:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0227/125014.007:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0227/125019.022:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0227/125024.037:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0227/125029.059:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0227/125034.076:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0227/125039.098:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0227/125044.108:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0227/125049.132:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
